"time"|"timestring"|"quote"|"title"|"author"|
"06:05"|"6:05 A.M."|"Now she checked the time: 6:05 A.M. Her shift replacement was late."|"Saturn Run"|"John Sandford"|"unknown"
"06:06"|"6:06"|"At 6:06, every toilet on Merit Street suddenly exploded in a geyser of shit and raw sewage as some unimaginable reversal took place in the pipes which fed the holding tanks of the new waste-treatment plant in the Barrens."|"IT"|"Stephen King"|"unknown"
"06:15"|"quarter past six"|"Father expected his shaving-water to be ready at a quarter past six. Just seven minutes late, Dorothy took the can upstairs and knocked at her father's door."|"A Clergyman's Daughter"|"George Orwell"|"unknown"
"06:20"|"6:20 A.M."|"When she looked up again, it was 6:20 A.M. That was more than not okay. Mildly steamed, she turned to one of the techs."|"Saturn Run"|"John Sandford"|"unknown"
"06:27"|"06:27"|"06:27:52 by the chip in her optic nerve; Case had been following her progress through Villa Straylight for over an hour, letting the endorphin analogue she'd taken blot out his hangover."|"Neuromancer "|"William Gibson"|"unknown"
"06:30"|"six-thirty"|"Six-thirty was clearly a preposterous time and he, the client, obviously hadn't meant it seriously. A civilised six-thirty for twelve noon was almost certainly what he had in mind, and if he wanted to cut up rough about it, Dirk would have no option but to start handing out some serious statistics. Nobody got murdered before lunch. But nobody. People weren't up to it. You needed a good lunch to get both the blood-sugar and blood-lust levels up. Dirk had the figures to prove it."|"The Long Dark Tea-time of the Soul "|"Douglas Adams"|"unknown"
"06:32"|"6:32 A.M."|"BURBANK AIRPORT 6:32 A.M. Rush hour traffic crept forward in the pale morning light. Casey twisted her rearview mirror, and leaned over to check her makeup."|"Airframe"|"Michael Crichton"|"unknown"
"06:37"|"6.37am"|"The dashboard clock said 6.37am Town frowned, and checked his wristwatch, which blinked that it was 1.58pm. Great, he thought. I was either up on that tree for eight hours, or for minus a minute."|"American Gods"|"Neil Gaiman"|"unknown"
"06:38"|"6.38am."|"The clock on the dashboard said it was 6.38am. He left the keys in the car, and walked toward the tree."|"American Gods"|"Neil Gaiman"|"unknown"
"06:40"|"twenty to seven"|"At eleven o'clock the phone rang, and still the figure did not respond, any more than it has responded when the phone had rung at twenty-five to seven in the morning, and again at twenty to seven"|"The Long Dark Tea-Time of the Soul"|"Douglas Adams"|"unknown"
"07:00"|"seven o’clock"|"Anne made her way across the dooryard, trailing a steadying hand along the side of Bobbi’s truck. When she had passed the truck, she reached at once for the porch railing. She looked up, and in the slanting light of seven o’clock, Gardener thought the woman looked both aged and ageless."|"The Tommyknockers"|"Stephen King"|"unknown"
"07:00"|"seven o’clock in the morning"|"Grant immediately understood the advantages. It was now seven o’clock in the morning. They had at least eight miles to go. If they could take a raft along the river, they would make much faster progress than going overland."|"Jurassic Park"|"Michael Crichton"|"unknown"
"07:00"|"seven in the morning"|"Through September and right into October, the North Carolina skies were clear and the air was warm even at seven in the morning, when I left my second-floor apartment by the outside stairs. If I started with a light jacket on, I was wearing it tied around my waist before I’d finished half of the three miles between the town and the amusement park."|"Joyland"|"Stephen King"|"unknown"
"07:00"|"seven AM"|"The call was early: seven AM, two hours before the park opened its doors on another summer. The three of us walked down the beach together. Tom talked most of the way. He always talked. It would have been wearisome if he hadn’t been so amusing and relentlessly cheerful."|"Joyland"|"Stephen King"|"unknown"
"07:02"|"07:02"|"07:02:18 One and a half hours. 'Case,' she said, 'I wanna favour.'"|"Neuromancer"|"William Gibson"|"unknown"
"07:06"|"six minutes past seven"|"So far so good. There followed a little passage of time when we stood by the duty desk, drinking coffee and studiously not mentioning what we were all thinking and hoping: that Percy was late, that maybe Percy wasn't going to show up at all. Considering the hostile reviews he'd gotten on the way he'd handled the electrocution, that seemed at least possible. But Percy subscribed to that old axiom about how you should get right back on the horse that had thrown you, because here he came through the door at six minutes past seven, resplendent in his blue uniform with his sidearm on one hip and his hickory stick in its ridiculous custom-made holster on the other."|"The Green Mile "|"Stephen King"|"unknown"
"07:06"|"six minutes past seven"|"Percy subscribed to that old axiom about how you should get right back on the horse that had thrown you, because here he came through the door at six minutes past seven, resplendent in his blue uniform with his sidearm on one hip and his hickory stick in its ridiculous custom-made holster on the other."|"The Green Mile"|"Stephen King"|"unknown"
"07:08"|"between eight and nine minutes after seven o'clock"|"Reacher had no watch but he figured when he saw Gregory it must have been between eight and nine minutes after seven o'clock."|"The Hard Way"|"Lee Child"|"unknown"
"07:09"|"seven-nine"|"In the living room the voice-clock sang, Tick-tock, seven o'clock, time to get up, time to get up, seven o 'clock! as if it were afraid that nobody would. The morning house lay empty. The clock ticked on, repeating and repeating its sounds into the emptiness. Seven-nine, breakfast time, seven-nine!"|"There Will Come Soft Rains "|"Ray Bradbury"|"unknown"
"07:09"|"seven-nine"|"Seven-nine, breakfast time, seven-nine!"|"There Will Come Soft Rains"|"Ray Bradbury"|"unknown"
"07:15"|"fifteen minutes past seven"|"The raft drifted steadily north. “There must be a current.” The current was carrying them north, toward the hotel. He looked at his watch and was astonished to see it was fifteen minutes past seven. Only fifteen minutes had passed since he had last looked at his watch. It seemed like two hours."|"Jurassic Park"|"Michael Crichton"|"unknown"
"07:15"|"7:15 A.M."|"At 7:15 A.M., January 25th, we started flying northwestward under McTighe's pilotage with ten men, seven dogs, a sledge, a fuel and food supply, and other items including the plane's wireless outfit."|"At the Mountains of Madness "|"H.P. Lovecraft"|"unknown"
"07:30"|"seven-thirty"|"At seven-thirty, Chetta Reynolds blew into the examining room where the Stones and their ceaselessly screaming baby daughter had been stashed. The poet rumored to be on the short list for  Presidential Medal of Freedom was dressed in straight-leg jeans and a BU sweatshirt with a hole in one elbow."|"Doctor Sleep"|"Stephen King"|"unknown"
"07:30"|"seven-thirty"|"At seven-thirty the next morning, after less than three hours of broken, nightmare-haunted sleep, Tess booted up her office computer. But not to write. Writing was the farther thing from her mind."|"Full Dark, No Stars"|"Stephen King"|"unknown"
"07:32"|"7:32"|"At 7:32, he suffered a fatal stroke."|"IT"|"Stephen King"|"unknown"
"07:35"|"seven thirty-five"|"I looked at my watch. Seven thirty-five."|"Bare Bones "|"Kathy Reichs"|"unknown"
"07:42"|"seven, and forty-two minutes"|"“I had been in the tech ninja sleeve only a few hours—seven, and forty-two minutes according to the time display chipped into my upper-left field of vision—but there were none of the usual download side effects.”"|"Altered Carbon"|"Richard K. Morgan"|"unknown"
"07:45"|"07:45"|"The medsystem computer woke Becca at 07:45, having allotted her an extra forty-five minutes to compensate for her delayed bedtime. This was a good sign."|"Saturn Run"|"John Sandford"|"unknown"
"07:51"|"nine minutes to eight"|"Vimes fished out the Gooseberry as a red-hot cabbage smacked into the road behind him. ""Good morning!"" he said brightly to the surprised imp. ""What is the time, please?"" ""Er...nine minutes to eight, Insert Name Here,"" said the imp."|"Thud! "|"Terry Pratchett"|"unknown"
"07:59"|7.59|"I'd spent fifty two days in 1958, but here it was 7.59 in the morning."|"11/22/63"|"Stephen King"|"unknown"
"08:00"|"eight o’clock"|"The jungle river became narrower. The banks closed in on both sides until the trees and foliage overhanging the banks met high above to block out the sun. Tim heard the cry of birds, and saw small chirping dinosaurs leaping among the branches. But mostly it was silent, the air hot and still beneath the canopy of trees. Grant looked at his watch. It was eight o’clock."|"Jurassic Park"|"Michael Crichton"|"unknown"
"08:00"|"8:00 A.M."|"He sat in front of the consoles and gulped another cup of coffee. All around him, the control room was strewn with paper plates and half-eaten sandwiches. Arnold was exhausted. It was 8:00 A.M. on Saturday."|"Jurassic Park"|"Michael Crichton"|"unknown"
"08:00"|"8 o'clock"|"At 8 o'clock on Thursday morning Arthur didn't feel very good."|"Hitch-Hikers Guide to the Galaxy "|"Douglas Adams"|"unknown"
"08:00"|"eight o'clock"|"At eight o'clock on Thursday morning Arthur didn't feel very good. He woke up blearily, got up, wandered blearily round his room, opened a window, saw a bulldozer, found his slippers and stomped off to the bathroom to wash."|"Hitch-hikers guide to the galaxy "|"Douglas Adams"|"unknown"
"08:00"|"At eight o’clock"|"At eight o’clock, a shaft of daylight came to wake us. The thousand facets of the lava on the rock face picked it up as it passed, scattering like a shower of sparks."|"Journey to the Centre of the Earth "|"Jules Verne"|"unknown"
"08:01"|"eight-one"|"Eight-one, tick-tock, eight-one o'clock, off to school, off to work, run, run, eight-one!"|"There Will Come Soft Rains"|"Ray Bradbury"|"unknown"
"08:02"|"Eight oh two"|"... bingeley ... Eight oh two eh em, Death of Corporal Littlebottombottom ... Eight oh three eh em ... Death of Sergeant Detritus ... Eight oh threethreethree eh em and seven seconds seconds ... Death of Constable Visit ... Eight oh three eh em and nineninenine seconds ... Death of death of death of ..."|"Jingo"|"Terry Pratchett"|"unknown"
"08:03"|"Eight oh three"|"... bingeley ... Eight oh two eh em, Death of Corporal Littlebottombottom ... Eight oh three eh em ... Death of Sergeant Detritus ... Eight oh threethreethree eh em and seven seconds seconds ... Death of Constable Visit ... Eight oh three eh em and nineninenine seconds ... Death of death of death of ..."|"Jingo"|"Terry Pratchett"|"unknown"
"08:15"|"quarter past eight"|"Casey Kingsley wasn’t entirely surprised to see his new hire sitting outside his office when he arrived at quarter past eight that morning. Nor was he surprised to see the bottle Torrance was holding in his hands, first twisting the cap off, then putting it back on and turning it tight again—he’d had that special look from the start, the thousand-yard Kappy’s Discount Liquor Store stare."|"Doctor Sleep"|"Stephen King"|"unknown"
"08:17"|"8.17 a.m."|"Breakfast over, my uncle drew from his pocket a small notebook, intended for scientific observations. He consulted his instruments, and recorded: “Monday, July 1. “Chronometer, 8.17 a.m.; barometer, 297 in.; thermometer, 6° (43° F.). Direction, E.S.E.” This last observation applied to the dark gallery, and was indicated by the compass."|"A Journey to the Centre of the Earth"|"Jules Verne"|"unknown"
"08:23"|"twenty-three minutes past eight"|"And then Wedderburn looked at his watch. ""Twenty-three minutes past eight. I am going up by the quarter to twelve train, so that there is plenty of time. I think I shall wear my alpaca jacket - it is quite warm enough - and my grey felt hat and brown shoes. I suppose”"|"The Flowering of The Strange Orchid"|"HG Wells"|"unknown"
"08:27"|"8:27 a.m."|"It was 8:27 a.m., still rush hour. Pedestrians would slow things down, so the seven-mile trip that would have required 2.81 minutes at midnight, took nearly six."|"The Truth Machine"|"James L. Halperin"|"unknown"
"08:30"|"eight-thirty in the morning"|"Gard stood bent over the cut in the earth for some time, shining the big light into the black depths. Here it was, only eight-thirty in the morning, and already he wanted a drink."|"The Tommyknockers"|"Stephen King"|"unknown"
"08:30"|"half past eight"|"Sir John was normally awakened at half past eight every morning by a butler who brought him his breakfast, another butler who brought him his clothes, a third butler whose job it was to feed Adolf and Stalin if necessary, and a fourth butler who was basically a spare. "|"Johnny and the Bomb"|"Terry Pratchett"|"unknown"
"08:30"|"eight thirty"|"Outside, the wind continued to rise. Every now and then it gave a blood-curdling scream around the eaves that made him look up from his book. Around eight thirty, the snow began. It was heavy and wet, quickly coating his window and blocking his view of the mountains. In a way, that was worse. The snow had blocked the windows in the Overlook, too."|"Doctor Sleep"|"Stephen King"|"unknown"
"08:30"|"eight-thirty"|"We had made our arrangements at lunch the day before, and when I turned my old car into the driveway of the big green Victorian at eight-thirty on Tuesday morning, Annie and Mike were ready to go. So was Milo."|"Joyland"|"Stephen King"|"unknown"
"08:30"|"half past eight"|"At half past eight, Mr. Dursley picked up his briefcase, pecked Mrs. Dursley on the cheek, and tried to kiss Dudley good-bye but missed, because Dudley was now having a tantrum and throwing his cereal at the walls."|"Harry Potter and the Philosopher's Stone "|"JK Rowling"|"unknown"
"08:40"|8.4|"At this moment the clock indicated 8.40. 'Five minutes more,' said Andrew Stuart. The five friends looked at each other. One may surmise that their heart-beats were slightly accelereted, for, even for bold gamblers, the stake was a large one.'"|"Around the world in eighty days "|"Jules Verne"|"unknown"
"08:43"|"around 08:45"|"I started my EVA around 08:45, same as always. I got my hammer and screwdriver and started chipping the trailer’s hull."|"The Martian"|"Andy Weir"|"unknown"
"08:44"|"around 08:45"|"I started my EVA around 08:45, same as always. I got my hammer and screwdriver and started chipping the trailer’s hull."|"The Martian"|"Andy Weir"|"unknown"
"08:45"|"quarter of nine"|"When Gardner woke up, bright light was streaming into his face through the western window. His back hurt like a bastard, and when he stood up his neck gave a wretched arthritic creak that made him wince. It was quarter of nine."|"The Tommyknockers"|"Stephen King"|"unknown"
"08:45"|"a quarter to nine"|"When it got to be a quarter to nine and still no one had shown up, Gardener began to wonder if maybe they were quitting. He toyed with the idea as he sat in Bobbi’s rocker on the porch, fingering the big, puffy bruise on the side of his face where Bozeman had clouted him."|"The Tommyknockers"|"Stephen King"|"unknown"
